"STD","APHIAID","CODE","COMM","SPEC"
NA,158669,62,"ALEWIFE","ALOSA PSEUDOHARENGUS"
NA,158670,61,"SHAD AMERICAN","ALOSA SAPIDISSIMA"
NA,105865,201,"THORNY SKATE","AMBLYRAJA RADIATA"
NA,151520,610,"NORTHERN SAND LANCE","AMMODYTES DUBIUS"
NA,126757,52,"NORTHERN WOLFFISH","ANARHICHAS DENTICULATUS"
NA,126758,50,"STRIPED ATLANTIC WOLFFISH","ANARHICHAS LUPUS"
NA,126759,51,"SPOTTED WOLFFISH","ANARHICHAS MINOR"
NA,126715,160,"ARGENTINE(ATLANTIC)","ARGENTINA SILUS"
NA,126447,15,"CUSK","BROSME BROSME"
NA,154706,413,"LONGNOSE GRENADIER","CAELORINCHUS CAELORINCHUS"
NA,105906,221,"BLACK DOGFISH","CENTROSCYLLIUM FABRICII"
NA,158791,44,"GULF STREAM FLOUNDER","CITHARICHTHYS ARCTIFRONS"
"X",126417,60,"HERRING(ATLANTIC)","CLUPEA HARENGUS"
NA,158960,414,"ROUNDNOSE GRENADIER","CORYPHAENOIDES RUPESTRIS"
NA,159675,630,"WRYMOUTH","CRYPTACANTHODES MACULATUS"
NA,127214,501,"LUMPFISH","CYCLOPTERUS LUMPUS"
NA,158548,200,"BARNDOOR SKATE","DIPTURUS LAEVIS"
NA,126450,114,"FOURBEARD ROCKLING","ENCHELYOPUS CIMBRIUS"
NA,127217,502,"ATLANTIC SPINY LUMPSUCKER","EUMICROTREMUS SPINOSUS"
NA,159623,637,"SPOTFIN DRAGONET","FOETOREPUS AGASSIZI"
"X",126436,10,"COD(ATLANTIC)","GADUS MORHUA"
NA,254538,118,"GREENLAND COD","GADUS OGAC"
"X",127136,41,"WITCH FLOUNDER","GLYPTOCEPHALUS CYNOGLOSSUS"
NA,127251,123,"ROSEFISH(BLACK BELLY)","HELICOLENUS DACTYLOPTERUS"
NA,159518,320,"SEA RAVEN","HEMITRIPTERUS AMERICANUS"
NA,158833,142,"FOURSPOT FLOUNDER","HIPPOGLOSSINA OBLONGA"
"X",127137,40,"AMERICAN PLAICE","HIPPOGLOSSOIDES PLATESSOIDES"
"X",127138,30,"HALIBUT(ATLANTIC)","HIPPOGLOSSUS HIPPOGLOSSUS"
NA,156134,2550,"AMERICAN LOBSTER","HOMARUS AMERICANUS"
NA,127191,350,"ATLANTIC SEA POACHER","LEPTAGONUS DECAGONUS"
NA,158551,203,"LITTLE SKATE","LEUCORAJA ERINACEA"
NA,158553,204,"WINTER SKATE","LEUCORAJA OCELLATA"
"X",158879,42,"YELLOWTAIL FLOUNDER","LIMANDA FERRUGINEA"
NA,159184,400,"MONKFISH,GOOSEFISH,ANGLER","LOPHIUS AMERICANUS"
NA,154675,622,"SNAKE BLENNY","LUMPENUS LUMPRETAEFORMIS"
NA,127072,623,"DAUBED SHANNY","LUMPENUS MACULATUS"
NA,127118,647,"SHORTTAILED EELPOUT(VAHL)","LYCODES VAHLII"
NA,126472,411,"ROUGHHEAD GRENADIER","MACROURUS BERGLAX"
NA,158741,409,"AMERICAN STRAPTAIL GRENADIER","MALACOCEPHALUS OCCIDENTALIS"
NA,158554,202,"SMOOTH SKATE","MALACORAJA SENTA"
NA,126735,64,"CAPELIN","MALLOTUS VILLOSUS"
"X",126437,11,"HADDOCK","MELANOGRAMMUS AEGLEFINUS"
"X",158962,14,"SILVER HAKE","MERLUCCIUS BILINEARIS"
NA,158928,17,"TOMCOD(ATLANTIC)","MICROGADUS TOMCOD"
NA,159520,300,"LONGHORN SCULPIN","MYOXOCEPHALUS OCTODECEMSPINOSUS"
NA,101170,241,"NORTHERN HAGFISH","MYXINE GLUTINOSA"
NA,183289,410,"MARLIN-SPIKE GRENADIER","NEZUMIA BAIRDII"
NA,158826,141,"SUMMER FLOUNDER","PARALICHTHYS DENTATUS"
NA,159828,701,"BUTTERFISH","PEPRILUS TRIACANTHUS"
NA,101174,240,"SEA LAMPREY","PETROMYZON MARINUS"
"X",126441,16,"POLLOCK","POLLACHIUS VIRENS"
"X",158885,43,"WINTER FLOUNDER","PSEUDOPLEURONECTES AMERICANUS"
NA,127144,31,"TURBOT,GREENLAND HALIBUT","REINHARDTIUS HIPPOGLOSSOIDES"
"X",127023,70,"MACKEREL(ATLANTIC)","SCOMBER SCOMBRUS"
NA,158907,143,"BRILL/WINDOWPANE","SCOPHTHALMUS AQUOSUS"
"X",126175,23,"REDFISH UNSEPARATED","SEBASTES SP."
NA,105923,220,"SPINY DOGFISH","SQUALUS ACANTHIAS"
NA,159785,122,"CUNNER","TAUTOGOLABRUS ADSPERSUS"
NA,321911,216,"ATLANTIC TORPEDO","TORPEDO NOBILIANA"
NA,126481,412,"ROUGHNOSE GRENADIER","TRACHYRINCUS MURRAYI"
NA,127205,304,"MAILED SCULPIN","TRIGLOPS MURRAYI"
NA,158988,112,"LONGFIN HAKE","UROPHYCIS CHESTERI"
NA,126503,13,"SQUIRREL OR RED HAKE","UROPHYCIS CHUSS"
"X",126504,12,"WHITE HAKE","UROPHYCIS TENUIS"
NA,159647,94,"ATLANTIC MOONFISH","VOMER SETAPINNIS"
NA,127426,704,"AMERICAN JOHN DORY","ZENOPSIS OCELLATA"
NA,159267,640,"OCEAN POUT","ZOARCES AMERICANUS"
